Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,std,4.27,0.82,0.32,2.24,1.02,2,0.45,0.16,2.34,0.92,NA,NA,NA,NA
Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,1299.06,4013.08,5223.33,9216.66,31059.84,18659.55,27430.75,36570.36,46106.93,962.950015209806,1332.31,1478.2,1818.6
57  Fe  [ He ] ,Conc. [ ppb ],0,1.41,4.34,5.65,9.98,33.62,20.2,29.69,39.58,49.9,NA,NA,NA,NA
,Avg.intensity,1332.31,2631.37,5345.39,6555.64,10548.97,32392.15,19991.86,28763.06,37902.67,47439.24,NA,NA,NA,NA
,std,3.65,8.81,5.32,9.45,2.1,9.07,2.46,1.19,1.39,3,NA,NA,NA,NA
NA,y-y0,0,59891.59,154423.36,301451.35,451648.47,607336.34,1221415.18,1767067.41,2380812.81,2904128.31,60345.4267231638,7440.64,8168.33,9866.29
59  Co  [ He ] ,Conc. [ ppb ],0,1.02,2.62,5.12,7.67,10.31,20.73,29.99,40.41,49.29,NA,NA,NA,NA
,Avg.intensity,7440.64,67332.23,161864,308891.99,459089.11,614776.98,1228855.82,1774508.05,2388253.45,2911568.95,NA,NA,NA,NA
,std,3.26,0.39,0.67,1.52,0.32,0.74,0.44,2.01,2.66,1.35,NA,NA,NA,NA
NA,y-y0,0,18513.82,42319.28,79224.5,118253.82,159363.2,315702.28,463449.73,620122.32,776498.45,15902.1262146893,315.57,423.4,675
60  Ni  [ He ] ,Conc. [ ppb ],0,1.19,2.72,5.1,7.61,10.25,20.31,29.82,39.9,49.97,NA,NA,NA,NA
,Avg.intensity,315.57,18829.39,42634.85,79540.07,118569.39,159678.77,316017.85,463765.3,620437.89,776814.02,NA,NA,NA,NA
,std,11.39,1.46,1.28,0.9,2.1,1.02,1.47,0.85,0.32,0.8,NA,NA,NA,NA
NA,y-y0,0,42778.66,106075.02,206024.71,311742.5,427906.45,829270.02,1225814.5,1577872.25,2018019.57,40320.4664775879,4512.92,5782.86,8746.04
63  Cu  [ He ] ,Conc. [ ppb ],0,1.06,2.63,5.11,7.73,10.61,20.57,30.4,39.13,50.05,NA,NA,NA,NA
,Avg.intensity,4512.92,47291.58,110587.94,210537.63,316255.42,432419.37,833782.94,1230327.42,1582385.17,2022532.49,NA,NA,NA,NA
,std,9.38,1.6,1.97,0.53,1.19,0.9,0.96,0.92,0.39,0.9,NA,NA,NA,NA
NA,y-y0,0,15823.02,26630.47,44436.02,64170.84,91021.86,153510.02,229121.79,302934.65,380790.2,7658.01723092064,1207.85,1527.45,2273.17
66  Zn  [ He ] ,Conc. [ ppb ],0,2.07,3.48,5.8,8.38,11.89,20.05,29.92,39.56,49.72,NA,NA,NA,NA
,Avg.intensity,1207.85,17030.87,27838.32,45643.87,65378.69,92229.71,154717.87,230329.64,304142.5,381998.05,NA,NA,NA,NA
,std,8.82,1.86,1.75,3.21,0.53,0.61,0.36,1.12,0.88,0.33,NA,NA,NA,NA
