ID,Area,DW,Year,ID_num,Tissue,dta_km,dtfl_km,Gender,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
47_09_stomach,47,103.5,2021,09,Stomach,544,181,0,49°33'S,59°59'W,6,273.00,671.6,4,0,2.5 BLOQ,2.5 BLOQ,0.792
47_10_stomach,47,105.9,2021,10,Stomach,544,181,0,49°33'S,59°59'W,6,276.00,512.9,3,0.948,0.077,0,7.762
47_11_stomach,47,101.0,2021,11,Stomach,544,181,0,49°33'S,59°59'W,6,310.00,754.1,4,0.637,0.066,2.5 BLOQ,9.576
47_12_stomach,47,100.0,2021,12,Stomach,544,181,1,49°33'S,59°59'W,6,241.00,404.0,4,0.476,0.044,0,26.02
47_13_stomach,47,104.0,2021,13,Stomach,544,181,0,49°33'S,59°59'W,6,257.00,462.9,3,0,0.034,0,21.597
47_14_stomach,47,103.1,2021,14,Stomach,544,181,1,49°33'S,59°59'W,6,257.00,445.3,4,1.641,0.104,0,27.499
47_15_stomach,47,104.0,2021,15,Stomach,544,181,1,49°33'S,59°59'W,6,274.90,376.8,3,0.659,0.051,0,6.752
49_01_stomach,49,106.1,2021,01,Stomach,376,460,1,46°55'S,60°51'W,5,242.30,378.4,3,0.501,0.117,0,10.19
49_02_stomach,49,101.7,2021,02,Stomach,376,460,0,46°55'S,60°51'W,5,261.54,463.9,3,0,0.159,0,10.723
49_03_stomach,49,103.0,2021,03,Stomach,376,460,0,46°55'S,60°51'W,5,308.12,807.5,3,0.657,0.028,0,5.393
49_04_stomach,49,108.6,2021,04,Stomach,376,460,1,46°55'S,60°51'W,5,289.00,529.7,5,0.355,0.034,0,4.198
49_05_stomach,49,100.6,2021,05,Stomach,376,460,0,46°55'S,60°51'W,5,260.00,468.0,3,0.938,0.027,0,18.818
49_06_stomach,49,100.4,2021,06,Stomach,376,460,1,46°55'S,60°51'W,5,218.00,229.1,5,0.097,2.5 BLOQ,0,1.896
49_07_stomach,49,101.5,2021,07,Stomach,376,460,1,46°55'S,60°51'W,5,183.00,108.6,1,0,0.056,0,2.169
49_08_stomach,49,106.2,2021,08,Stomach,376,460,0,46°55'S,60°51'W,5,206.00,158.3,2,0,2.5 BLOQ,0,2.44
49_09_stomach,49,109.8,2021,09,Stomach,376,460,0,46°55'S,60°51'W,5,219.00,186.2,2,0,0.039,0,5.103
49_10_stomach,49,101.3,2021,10,Stomach,376,460,1,46°55'S,60°51'W,5,197.00,140.3,2,0,0.111,0,0.956
49_11_stomach,49,104.3,2021,11,Stomach,376,460,0,46°55'S,60°51'W,5,186.00,107.6,1,0.115,0.175,0,2.359
49_12_stomach,49,107.1,2021,12,Stomach,376,460,0,46°55'S,60°51'W,5,192.00,151.7,1,0,2.5 BLOQ,0,4.196
49_13_stomach,49,102.4,2021,13,Stomach,376,460,1,46°55'S,60°51'W,5,197.00,170.3,3,0.127,2.5 BLOQ,0,1.992
